team_id,p_runs,p_era,p_whip,p_strikeoutWalkRatio,p_ops,h_ops,h_leftOnBase,h_runs,h_hits,h_avg,wins
2013145,4.376470588235295,3.98,1.29,2.58,.709,.674,6.188235294117647,3.6705882352941175,8.305882352941177,.245,63
2014145,4.555555555555555,4.16,1.39,1.90,.721,.709,6.588888888888889,4.266666666666667,8.522222222222222,.249,73
2015145,4.382716049382716,4.03,1.34,3.03,.739,.651,6.481481481481482,3.4074074074074074,8.148148148148149,.241,76
2016145,4.270588235294118,3.97,1.37,2.31,.735,.716,6.952941176470588,4.176470588235294,8.458823529411765,.249,78
2017145,4.882352941176471,4.46,1.38,2.11,.762,.738,6.482352941176471,4.6117647058823525,8.929411764705883,.261,67
2018145,5.415730337078652,4.97,1.48,1.73,.771,.705,6.449438202247191,4.022471910112359,8.303370786516854,.243,62
2019145,5.22093023255814,5.03,1.45,2.15,.799,.726,6.569767441860465,4.395348837209302,8.662790697674419,.257,72
2021145,3.8372093023255816,3.62,1.22,3.29,.675,.748,6.953488372093023,4.988372093023256,8.313953488372093,.255,93
2022145,4.790123456790123,4.13,1.35,2.48,.722,.688,7.0,4.234567901234568,8.864197530864198,.254,81
2023145,4.911111111111111,4.57,1.36,2.51,.749,.693,6.466666666666667,4.211111111111111,8.122222222222222,.238,61
2024145,4.989130434782608,4.57,1.37,2.24,.735,.634,6.3478260869565215,3.2065217391304346,7.336956521739131,.222,41
2008146,5.179775280898877,4.70,1.47,1.68,.765,.768,6.966292134831461,4.966292134831461,8.876404494382022,.258,84
2009146,4.788235294117647,4.36,1.40,1.98,.728,.724,7.2,4.529411764705882,8.75294117647059,.256,87
2010146,4.369047619047619,4.04,1.34,2.23,.716,.731,7.190476190476191,4.654761904761905,9.071428571428571,.263,80
2011146,4.409090909090909,3.98,1.31,2.18,.720,.689,7.170454545454546,3.8068181818181817,8.272727272727273,.244,72
2012146,4.583333333333333,4.16,1.33,2.24,.724,.700,6.630952380952381,3.9285714285714284,8.142857142857142,.242,69
2013146,4.264367816091954,3.92,1.32,2.26,.723,.631,6.252873563218391,3.2528735632183907,7.827586206896552,.233,62
2014146,4.370786516853933,3.92,1.33,2.68,.727,.709,7.337078651685394,4.325842696629214,8.9438202247191,.257,77
2015146,4.083333333333333,3.94,1.28,2.49,.698,.682,6.678571428571429,3.607142857142857,8.535714285714286,.253,71
2016146,4.2823529411764705,4.12,1.35,2.31,.727,.742,7.670588235294118,4.2,9.541176470588235,.274,79
2017146,4.905882352941177,4.60,1.38,2.05,.744,.751,6.823529411764706,4.647058823529412,9.270588235294118,.268,77
2018146,5.131868131868132,4.87,1.40,2.03,.759,.674,7.142857142857143,3.7472527472527473,8.32967032967033,.241,63
2019146,4.534090909090909,4.28,1.32,2.37,.734,.655,6.613636363636363,3.5454545454545454,8.181818181818182,.240,57
2021146,3.744186046511628,3.42,1.19,2.85,.666,.676,6.593023255813954,4.023255813953488,7.767441860465116,.233,67
2022146,4.271604938271605,3.89,1.25,2.71,.712,.700,6.54320987654321,4.296296296296297,8.123456790123457,.241,69
2023146,4.277777777777778,4.08,1.27,3.09,.718,.722,6.9,4.155555555555556,8.933333333333334,.263,84
2024146,5.0,4.51,1.36,2.40,.735,.632,6.122222222222222,3.511111111111111,7.8,.231,62
2008147,4.426966292134831,4.19,1.37,2.12,.732,.759,7.269662921348314,4.685393258426966,9.202247191011235,.269,89
2009147,4.807228915662651,4.42,1.36,2.06,.753,.830,7.63855421686747,5.626506024096385,9.602409638554217,.276,103
2010147,4.095238095238095,3.90,1.26,2.24,.700,.788,7.5476190476190474,5.369047619047619,9.25,.271,95
2011147,3.8372093023255816,3.50,1.29,2.15,.689,.786,6.790697674418604,5.22093023255814,8.709302325581396,.258,97
2012147,4.095238095238095,3.75,1.30,3.01,.740,.793,7.071428571428571,4.821428571428571,8.869047619047619,.261,95
2013147,3.9545454545454546,3.80,1.26,3.14,.715,.683,6.5227272727272725,3.9545454545454546,8.079545454545455,.241,85
2014147,4.409090909090909,3.97,1.28,3.25,.729,.699,7.079545454545454,4.068181818181818,8.75,.253,84
2015147,4.397590361445783,4.01,1.27,3.22,.717,.745,7.168674698795181,4.602409638554217,8.72289156626506,.253,87
2016147,4.4941176470588236,4.38,1.24,3.78,.738,.707,6.705882352941177,4.129411764705883,8.411764705882353,.251,84
2017147,4.416666666666667,4.02,1.26,3.02,.705,.797,7.2976190476190474,5.583333333333333,9.226190476190476,.265,91
2018147,3.8255813953488373,3.45,1.17,3.34,.663,.791,6.965116279069767,5.162790697674419,8.511627906976743,.249,100
2019147,4.431818181818182,4.14,1.29,3.05,.741,.804,6.511363636363637,5.715909090909091,9.034090909090908,.265,103
2021147,4.2,3.86,1.19,3.29,.682,.722,6.952941176470588,4.211764705882353,7.823529411764706,.238,92
2022147,3.0240963855421685,2.92,1.06,3.52,.615,.765,6.457831325301205,5.144578313253012,8.012048192771084,.242,99
2023147,4.157303370786517,3.80,1.25,2.62,.703,.707,5.696629213483146,4.382022471910112,7.550561797752809,.230,82
2024147,3.9456521739130435,3.59,1.20,2.63,.687,.756,6.619565217391305,5.043478260869565,8.271739130434783,.248,94
2008158,4.48314606741573,4.09,1.39,1.84,.749,.761,7.078651685393258,4.595505617977528,8.674157303370787,.254,90
2009158,4.63855421686747,4.48,1.39,1.94,.770,.759,7.445783132530121,4.662650602409639,8.542168674698795,.255,80
2010158,5.305882352941176,4.86,1.52,1.95,.788,.762,7.658823529411765,4.705882352941177,9.011764705882353,.258,77
2011158,4.359550561797753,4.06,1.30,2.71,.711,.737,6.662921348314606,4.370786516853933,8.617977528089888,.257,96
2012158,4.642857142857143,4.26,1.38,2.64,.748,.735,6.940476190476191,4.511904761904762,8.357142857142858,.244,83
